,location,company,turnstileLink,snip
7515,"Seattle, WA",University of Washington,Research Scientist II,
7516,"Seattle, WA 98104 (First Hill area)",Adobe,User Experience Designer,
7517,"Seattle, WA 98164 (Downtown area)",Fred Hutchinson Cancer Research Center,Revenue Accountant,
7518,"Redmond, WA",BOEING,FRL Tracking Software Engineer,
7519,"Everett, WA 98204 (Holly area)",Porch,Mid Level Test & Evaluation Engineer,
7520,"Seattle, WA",CDK Global,Senior Applied Scientist,
7521,"Redmond, WA",Maana,Senior Computer Vision Scientist for Autonomous Vehicles,
7522,"Seattle, WA",RedCloud Consulting,HOSPITAL BILLING APPLICATION ANALYST,
7523,"Seattle, WA",Fred Hutchinson Cancer Research Center,Senior Software Engineer,
7524,"Seattle, WA 98109 (Westlake area)",The Climate Corporation,"Manager, Statistical Programming",
7525,"Everett, WA 98204 (Holly area)","Brooks Sports, Inc",Mid-Level Engineering Technical Specialist,
7526,"Seattle, WA",Facebook,Senior Machine Learning Engineer,
7527,"Seattle, WA 98104 (First Hill area)",Nordstrom,Software Engineer II,
7528,"Bellevue, WA 98004 (Downtown area)",Logic20/20,Principal/Senior Researcher in Artificial Intelligence (Req....,
7529,"Bellevue, WA","Seattle Genetics, Inc.",Software Engineering Manager - Machine Learning,
7530,"Seattle, WA 98109 (Westlake area)",Celgene,Clinical Affairs Safety Associate II,
7531,"Seattle, WA",Zillow Group,"Engineering Director, Data Acquisition",
7532,"Seattle, WA",BOEING,"Director, Brooks Runner Performance Lab",
7533,"Redmond, WA",Fred Hutchinson Cancer Research Center,Operating Systems Software Engineer (Oculus),
7534,"Seattle, WA",Starbucks,Sr. Operations Research Scientist - Supply Chain/Logistics/T...,
7535,"Seattle, WA 98115 (Wedgwood area)",Zillow Group,Analytics Technical Project / Product Manager,
7536,"Bothell, WA",BOEING,Summer Intern – MBA Commercial Global Market Insights,
7537,"Seattle, WA","Seattle Genetics, Inc.",Senior Associate Scientist,
7538,"Seattle, WA 98101 (Downtown area)",BOEING,Principal Product Manager - 3D & Computer Vision,
7539,"Seattle, WA",BOEING,AvionX Vertical Estimating and Pricing Specialist (Mid Level...,
7540,"Seattle, WA 98109 (Westlake area)",Microsoft,Clinical Coding Specialist III,
7541,"Seattle, WA","Seattle Genetics, Inc.","software engineer, Retail Operations - Seattle, WA",
7542,"Seattle, WA 98101 (Downtown area)","Wiss, Janney, Elstner Associates","Software Development Engineer, Zestimate",
7543,"Tukwila, WA",Novo Nordisk,"Experienced, Customer Experience Analyst",
7544,"Bothell, WA",BOEING,"Associate Director/Director, Pathology",
7545,"Bellevue, WA",Zillow Group,Junior Systems Design & Integration Specialist,
7546,"Everett, WA 98204 (Holly area)",Russell Investments,Mid Level Test & Evaluation Engineer,
7547,"Redmond, WA",Facebook,PRINCIPAL DATA SCIENCE MANAGER,
7548,"Bothell, WA",Microsoft,"Associate Director/Director, Toxicology",
7549,"Seattle, WA 98108 (Georgetown area)",BOEING,"Senior Drafting Technician Seattle, WA",
7550,"Seattle, WA 98109 (Westlake area)",Mobiquity,System Engineer Job,
7551,"Everett, WA 98204 (Holly area)",Centric Consulting,Guidance Navigation & Control Engineer,
7552,"Seattle, WA 98101 (Downtown area)",Blue Origin,"Manager, Machine Learning",
7553,"Seattle, WA","Seattle Genetics, Inc.",Senior Quantitative Research Analyst,
7554,"Seattle, WA 98101 (Downtown area)",Convoy,"Technical Program Manager, Search Offline Metrics",
7555,"Redmond, WA",Galvanize,Sr. Business Program Manager - Legal Compliance,
7556,"Everett, WA 98204 (Holly area)",Celgene,Manufacturing Engineer,
7557,"Seattle, WA",Fred Hutchinson Cancer Research Center,Senior Engineer,
7558,"Seattle, WA",Facebook,Senior Data Architect with Machine Learning,
7559,"Kent, WA",Cray,Principal Technologist - Machine Learning and Data Science,
7560,"Bothell, WA",Microsoft,Summer Intern – MBA Commercial Global Market Insights,
7561,"Seattle, WA",BOEING,"Senior Data Engineer, Data Science",
7562,"Seattle, WA 98104 (First Hill area)",Fred Hutchinson Cancer Research Center,"Lead Data Science Instructor, Principal Data Scientist",
7563,"Seattle, WA",BOEING,"Research Associate, Molecular Analyst, Viral Vector Process...",
7564,"Seattle, WA 98109 (Westlake area)",Facebook,Post-Doctoral Research Fellow - Computational Immunology,
7565,"Redmond, WA",Facebook,"Research Intern, 3D Imaging (PhD University Student)",
7566,"Seattle, WA 98164 (Downtown area)",Branch,Test Automation Engineer,
7567,"Redmond, WA",Mobiquity,Senior ML/NLP Scientist,
7568,"Bellevue, WA","Seattle Genetics, Inc.",Software Development Leader,
7569,"Seattle, WA 98109 (Westlake area)",Twitch,"Post-Doctoral Research Fellow, Statistical Genomics",
7570,"Bellevue, WA",DocuSign,Principal Solution Architect in Data Platform,
7571,"Redmond, WA",NetMotion Software,"Research Scientist, Eye Tracking (PhD University Grad)",
